tweet_id,text,airline_sentiment,airline
1010,Really impressed with @Delta customer service this week,positive,Delta
1913,Paid extra for @Southwest and still got squished in a tiny seat !!,negative,Southwest
2329,"oh great, @Delta delayed AGAIN, love spending my life in this airport",negative,Delta
1604,"@Delta lost my luggage again, worst airline ever #travel",negative,Delta
1447,Paid extra for @Southwest and still got squished in a tiny seat,negative,Southwest
1980,@Southwest flight 245 departs at 9am from gate B12,neutral,Southwest
1401,"shoutout to @JetBlue for the free upgrade, made my day !!",positive,JetBlue
2116,@United just announced new routes to the Midwest this fall #travel,neutral,United
1521,"Sitting on the tarmac for 3 hours with @Delta, this is ridiculous !!",negative,Delta
1692,@Southwest left my bag behind and won't answer the phone,negative,Southwest
1234,Just landed with @JetBlue and the crew was amazing! Best flight ever #travel,positive,JetBlue
1096,"@JetBlue made my trip so easy, appreciate the effort",positive,JetBlue
1818,"@Southwest lost my luggage again, worst airline ever #travel",negative,Southwest
1918,"Sitting on the tarmac for 3 hours with @American, this is ridiculous #travel",positive,American
1128,"Kudos to @Delta staff, so friendly and helpful during my trip !!",positive,Delta
1833,"@American delayed us 6 hours and gave zero updates, terrible #travel",positive,American
1004,"@American upgraded me for free, what a great surprise, flying again soon",positive,American
2114,"@Delta website was down earlier, back up now I think #travel",negative,Delta
1082,@United flight attendants went above and beyond today !!,positive,United
2296,"oh great, @Southwest delayed AGAIN, love spending my life in this airport 😊",negative,Southwest
2115,"Landed with @Delta, on time as scheduled",neutral,Delta
1653,"@US Airways charged hidden fees I never agreed to, so frustrated #travel",negative,US Airways
1340,"shoutout to @US Airways for the free upgrade, made my day !!",positive,US Airways
2371,"@Southwest flight, some good some bad, about what I expected honestly #travel",neutral,Southwest
1876,Paid extra for @American and still got squished in a tiny seat #travel,negative,American
1233,Just landed with @Delta and the crew was amazing! Best flight ever !!,positive,Delta
1541,My @American flight was overbooked and they bumped me without warning,negative,American
2091,@JetBlue sent me a confirmation email for tomorrow's flight,neutral,JetBlue
1967,@Southwest plane just pushed back from the gate,neutral,Southwest
1150,Loved the legroom and service on my @United flight today 😊,positive,United
2039,"Landed with @JetBlue, on time as scheduled 😊",neutral,JetBlue
1908,"@US Airways lost my luggage again, worst airline ever #travel",negative,US Airways
2281,wow @JetBlue really outdid themselves this time... 4 hours late and counting,negative,JetBlue
1741,Paid extra for @Southwest and still got squished in a tiny seat !!,negative,Southwest
1287,"honestly @Delta did a great job today, no complaints at all",positive,Delta
1435,"worst experience with @US Airways, missed my connection because of them 😊",negative,US Airways
2127,Looking at @American fares for a trip next month #travel,neutral,American
1809,@US Airways customer service put me on hold for 2 hours,negative,US Airways
2187,"@US Airways website was down earlier, back up now I think",neutral,US Airways
1088,Huge thanks to @US Airways for the smooth check-in and on-time departure,positive,US Airways
1417,Really impressed with @US Airways customer service this week #travel,positive,US Airways
1893,Paid extra for @Delta and still got squished in a tiny seat 😊,negative,Delta
1223,"Kudos to @US Airways staff, so friendly and helpful during my trip",positive,US Airways
1553,Paid extra for @Southwest and still got squished in a tiny seat #travel,negative,Southwest
1695,"@United charged hidden fees I never agreed to, so frustrated",negative,United
1983,anyone else flying @American out of gate 22 today,neutral,American
1628,My @United flight was overbooked and they bumped me without warning 😊,negative,United
2284,"oh great, @JetBlue delayed AGAIN, love spending my life in this airport",negative,JetBlue
1416,"Kudos to @Delta staff, so friendly and helpful during my trip #travel",positive,Delta
1612,"@Delta delayed us 6 hours and gave zero updates, terrible !!",negative,Delta
1558,"@JetBlue lost my luggage again, worst airline ever !!",negative,JetBlue
1829,"Sitting on the tarmac for 3 hours with @United, this is ridiculous",negative,United
1229,@Delta flight attendants went above and beyond today #travel,positive,Delta
2351,"flight was delayed but @JetBlue crew apologized and gave snacks, decent recovery #travel",positive,JetBlue
1041,"@United handled my delay well, free snacks and great communication #travel",positive,United
1921,@Southwest sent me a confirmation email for tomorrow's flight,neutral,Southwest
1420,Paid extra for @American and still got squished in a tiny seat,negative,American
1804,"worst experience with @United, missed my connection because of them",negative,United
2017,Looking at @JetBlue fares for a trip next month,neutral,JetBlue
1871,My @United flight was overbooked and they bumped me without warning,negative,United
1031,Huge thanks to @JetBlue for the smooth check-in and on-time departure !!,positive,JetBlue
1527,@Delta left my bag behind and won't answer the phone !!,negative,Delta
1470,Paid extra for @United and still got squished in a tiny seat,negative,United
2097,"@Southwest website was down earlier, back up now I think !!",neutral,Southwest
1306,Loved the legroom and service on my @United flight today,positive,United
2216,@JetBlue plane just pushed back from the gate,neutral,JetBlue
1293,"honestly @United did a great job today, no complaints at all",positive,United
1756,"@US Airways crew was so rude to an elderly passenger, unacceptable",negative,US Airways
2037,@Southwest sent me a confirmation email for tomorrow's flight,neutral,Southwest
2208,"Checked in for my @American flight, boarding starts at noon #travel",neutral,American
1819,@US Airways customer service put me on hold for 2 hours,negative,US Airways
1526,"@United cancelled my flight with no notice, absolutely furious !!",negative,United
1865,Never flying @JetBlue again after how they treated my family today,negative,JetBlue
1217,Really impressed with @Delta customer service this week #travel,positive,Delta
2221,"@US Airways flight was pretty average, nothing special either way",neutral,US Airways
1224,"honestly @United did a great job today, no complaints at all #travel",positive,United
2147,"@JetBlue website was down earlier, back up now I think !!",neutral,JetBlue
2186,"@JetBlue website was down earlier, back up now I think",neutral,JetBlue
2074,@JetBlue flight 245 departs at 9am from gate B12,neutral,JetBlue
1690,"Rude staff at @United check-in counter, never flying them again #travel",negative,United
1569,Never flying @United again after how they treated my family today,negative,United
1504,"@United crew was so rude to an elderly passenger, unacceptable #travel",negative,United
1201,Huge thanks to @Delta for the smooth check-in and on-time departure,positive,Delta
1104,"shoutout to @American for the free upgrade, made my day",positive,American
1048,Smooth landing comfy seats on time @Southwest nailed it again,positive,Southwest
1937,"@American flight was pretty average, nothing special either way !!",neutral,American
2200,"Landed with @Delta, on time as scheduled",neutral,Delta
1801,"Sitting on the tarmac for 3 hours with @JetBlue, this is ridiculous #travel",negative,JetBlue
1075,"@US Airways upgraded me for free, what a great surprise, flying again soon !!",positive,US Airways
2068,"@American website was down earlier, back up now I think",neutral,American
1698,Paid extra for @Delta and still got squished in a tiny seat 😊,negative,Delta
2211,"@United website was down earlier, back up now I think",neutral,United
2049,Question for @Southwest can I change my seat assignment online,neutral,Southwest
1816,"@US Airways lost my luggage again, worst airline ever #travel",negative,US Airways
1624,"Rude staff at @JetBlue check-in counter, never flying them again",negative,JetBlue
2366,"not the smoothest trip but @US Airways staff tried their best, appreciate it",positive,US Airways
1782,@JetBlue left my bag behind and won't answer the phone,negative,JetBlue
1131,Loved the legroom and service on my @US Airways flight today #travel,positive,US Airways
1534,Paid extra for @US Airways and still got squished in a tiny seat #travel,positive,US Airways
2044,"Checked in for my @US Airways flight, boarding starts at noon #travel",neutral,US Airways
1329,"@JetBlue upgraded me for free, what a great surprise, flying again soon",positive,JetBlue
1658,"worst experience with @Delta, missed my connection because of them",negative,Delta
1595,"@Delta delayed us 6 hours and gave zero updates, terrible",negative,Delta
1842,Paid extra for @United and still got squished in a tiny seat #travel,negative,United
1948,Does anyone know the baggage policy for @Delta flights !!,neutral,Delta
2108,"Checked in for my @JetBlue flight, boarding starts at noon",neutral,JetBlue
1576,"@Southwest charged hidden fees I never agreed to, so frustrated #travel",negative,Southwest
2140,@Delta just announced new routes to the Midwest this fall,neutral,Delta
1127,"Kudos to @JetBlue staff, so friendly and helpful during my trip",positive,JetBlue
1936,Flying @Southwest tomorrow morning to Chicago for a work trip 😊,neutral,Southwest
1376,@Delta flight attendants went above and beyond today,negative,Delta
1260,"honestly @JetBlue did a great job today, no complaints at all",negative,JetBlue
2047,"Checked in for my @United flight, boarding starts at noon #travel",neutral,United
1117,Huge thanks to @JetBlue for the smooth check-in and on-time departure !!,positive,JetBlue
2195,"Checked in for my @US Airways flight, boarding starts at noon",neutral,US Airways
1787,Paid extra for @American and still got squished in a tiny seat !!,negative,American
1602,My @JetBlue flight was overbooked and they bumped me without warning,negative,JetBlue
2132,Looking at @US Airways fares for a trip next month,neutral,US Airways
1540,Never flying @Delta again after how they treated my family today,neutral,Delta
1112,"honestly @Delta did a great job today, no complaints at all !!",positive,Delta
1731,"@United delayed us 6 hours and gave zero updates, terrible",negative,United
1560,"@US Airways delayed us 6 hours and gave zero updates, terrible !!",negative,US Airways
2035,"Checked in for my @United flight, boarding starts at noon",neutral,United
2394,"@US Airways flight, some good some bad, about what I expected honestly 😊",neutral,US Airways
2350,"not the smoothest trip but @Delta staff tried their best, appreciate it !!",positive,Delta
1766,"worst experience with @United, missed my connection because of them #travel",negative,United
1049,Huge thanks to @American for the smooth check-in and on-time departure !!,positive,American
1074,Loved the legroom and service on my @United flight today,positive,United
1820,"@US Airways crew was so rude to an elderly passenger, unacceptable",negative,US Airways
2164,@JetBlue plane just pushed back from the gate,neutral,JetBlue
1525,Never flying @US Airways again after how they treated my family today !!,negative,US Airways
2134,"@United flight was pretty average, nothing special either way",neutral,United
1035,Best airline experience in years thank you @Delta team,positive,Delta
1478,Paid extra for @US Airways and still got squished in a tiny seat #travel,negative,US Airways
1285,"@American upgraded me for free, what a great surprise, flying again soon #travel",positive,American
1767,My @Delta flight was overbooked and they bumped me without warning !!,negative,Delta
2217,@United just announced new routes to the Midwest this fall,neutral,United
1186,"@Delta handled my delay well, free snacks and great communication",positive,Delta
1475,Paid extra for @United and still got squished in a tiny seat !!,negative,United
1215,Really impressed with @JetBlue customer service this week,positive,JetBlue
2321,wow @JetBlue really outdid themselves this time... 4 hours late and counting,negative,JetBlue
2268,@JetBlue flight 245 departs at 9am from gate B12 !!,positive,JetBlue
1784,My @Delta flight was overbooked and they bumped me without warning #travel,negative,Delta
1448,@United customer service put me on hold for 2 hours,negative,United
2004,"@JetBlue flight was pretty average, nothing special either way",neutral,JetBlue
1220,"@American upgraded me for free, what a great surprise, flying again soon",positive,American
1915,"@Southwest delayed us 6 hours and gave zero updates, terrible",negative,Southwest
1828,"@Southwest crew was so rude to an elderly passenger, unacceptable",negative,Southwest
2277,"thanks @United for losing my bag, exactly what I needed today !!",negative,United
1479,@Southwest customer service put me on hold for 2 hours,negative,Southwest
1546,"@Delta charged hidden fees I never agreed to, so frustrated",negative,Delta
1375,"shoutout to @American for the free upgrade, made my day",positive,American
2374,"@United flight, some good some bad, about what I expected honestly !!",neutral,United
1255,Smooth landing comfy seats on time @Southwest nailed it again,positive,Southwest
1887,"@JetBlue crew was so rude to an elderly passenger, unacceptable",negative,JetBlue
2026,@Delta just announced new routes to the Midwest this fall,neutral,Delta
2315,wow @Southwest really outdid themselves this time... 4 hours late and counting 😊,negative,Southwest
1455,"worst experience with @JetBlue, missed my connection because of them",negative,JetBlue
2214,"@United flight was pretty average, nothing special either way #travel",neutral,United
1727,"@United lost my luggage again, worst airline ever !!",negative,United
2380,"@US Airways flight, some good some bad, about what I expected honestly #travel",neutral,US Airways
2388,"@JetBlue flight, some good some bad, about what I expected honestly",neutral,JetBlue
